Training started at 2026-01-24 06:15:41
Configuration: TriangleNet  size56_mb8_percep1
======== Stage 1-1 ========
    Batch 500, Training Loss: 0.1812
    Batch 1000, Training Loss: 0.1711
    Batch 1500, Training Loss: 0.1497
    Batch 2000, Training Loss: 0.1453
    Batch 2500, Training Loss: 0.1430
    Batch 3000, Training Loss: 0.1419
    Batch 3500, Training Loss: 0.1459
    Batch 4000, Training Loss: 0.1414
    Batch 4500, Training Loss: 0.1373
    Batch 5000, Training Loss: 0.1379
    Batch 5500, Training Loss: 0.1361
    Batch 6000, Training Loss: 0.1378
    Batch 6500, Training Loss: 0.1359
    Batch 7000, Training Loss: 0.1354
    Batch 7500, Training Loss: 0.1371
    Batch 8000, Training Loss: 0.1403
    Batch 8500, Training Loss: 0.1340
    Batch 9000, Training Loss: 0.1350
    Batch 9500, Training Loss: nan
    Batch 10000, Training Loss: 0.1361
    Batch 10500, Training Loss: 0.1357
    Batch 11000, Training Loss: 0.1361
    Batch 11500, Training Loss: 0.1375
    Batch 12000, Training Loss: 0.1335
    Batch 12500, Training Loss: 0.1394
    Batch 13000, Training Loss: 0.1336
    Batch 13500, Training Loss: 0.1363
    Batch 14000, Training Loss: 0.1367
    Batch 14500, Training Loss: 0.1342
    Batch 15000, Training Loss: 0.1317
    Batch 15500, Training Loss: 0.1317
    Batch 16000, Training Loss: 0.1335
    Batch 16500, Training Loss: 0.1320
    Batch 17000, Training Loss: 0.1360
    Batch 17500, Training Loss: 0.1338
    Batch 18000, Training Loss: 0.1326
    Batch 18500, Training Loss: 0.1342
    Batch 19000, Training Loss: 0.1337
    Batch 19500, Training Loss: 0.1333
    Batch 20000, Training Loss: 0.1337
    Batch 20500, Training Loss: 0.1296
    Batch 21000, Training Loss: 0.1341
    Batch 21500, Training Loss: 0.1346
    Batch 22000, Training Loss: 0.1331
    Batch 22500, Training Loss: 0.1388
    Batch 23000, Training Loss: 0.1321
    Batch 23500, Training Loss: 0.1304
    Batch 24000, Training Loss: 0.1324
    Batch 24500, Training Loss: 0.1313
    Batch 25000, Training Loss: 0.1353
    Batch 25500, Training Loss: 0.1334
    Batch 26000, Training Loss: 0.1339
    Batch 26500, Training Loss: 0.1308
    Batch 27000, Training Loss: 0.1344
    Batch 27500, Training Loss: 0.1300
    Batch 28000, Training Loss: 0.1330
    Batch 28500, Training Loss: 0.1303
    Batch 29000, Training Loss: 0.1374
    Batch 29500, Training Loss: 0.1311
    Batch 30000, Training Loss: 0.1283
    Batch 30500, Training Loss: 0.1287
    Batch 31000, Training Loss: 0.1334
    Batch 31500, Training Loss: 0.1293
    Batch 32000, Training Loss: 0.1323
    Batch 32500, Training Loss: 0.1331
    Batch 33000, Training Loss: 0.1310
    Batch 33500, Training Loss: 0.1312
    Batch 34000, Training Loss: 0.1315
    Batch 34500, Training Loss: 0.1302
    Batch 35000, Training Loss: 0.1314
    Batch 35500, Training Loss: 0.1293
    Batch 36000, Training Loss: 0.1313
    Batch 36500, Training Loss: 0.1336
    Batch 37000, Training Loss: 0.1295
    Batch 37500, Training Loss: 0.1306
    Batch 38000, Training Loss: 0.1295
    Batch 38500, Training Loss: 0.1304
    Batch 39000, Training Loss: 0.1308
    Batch 39500, Training Loss: 0.1292
    Batch 40000, Training Loss: 0.1323
    Batch 40500, Training Loss: 0.1320
